"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"♪","","1-8-2024 0:47:46",1722473266,51575918,"PDYC6K2SF","SM3DW",4,"Airship",3,"Easy",0,"Standard"," Technical",1,11,"00:20.238",20238,"00:27.979",27979,0,0,0,7,26,"26.92%",26.9230769230769,12,0,0,2,0,9,NA,NA
"3d world underground","little bit of twisted trolling","4-9-2023 17:36:22",1693848982,46640978,"02VSLLLQG","SM3DW",4,"Underground",1,"Easy",0,"Speedrun"," Art",3,10,"00:09.901",9901,"00:13.275",13275,1,2111528319,0,13,17,"76.47%",76.4705882352941,14,0,0,1,0,14,NA,NA
"意味が分かると簡単なコース","意味が分かると簡単です。","25-10-2023 10:10:09",1698228609,47377105,"YSLBV8KPG","NSMBU",3,"Forest",9,"Easy",0,"Puzzle solving"," Technical",2,11,"00:12.101",12101,"00:27.960",27960,1,0,0,49,49,"100.00%",100,49,1,3,8,1,48,NA,NA
"... no words","... I have a feeling that one part of you wants to but one part does not.","1-7-2019 14:21:23",1561990883,3849431,"R432GXNVG","SM3DW",4,"Overworld",0,"Easy",0,"Speedrun"," Short and sweet",3,6,"00:05.747",5747,"00:13.376",13376,4,0,0,306,317,"96.53%",96.5299684542587,307,5,0,30,5,270,NA,NA
"old mario","you are vs DK.","29-5-2024 17:58:12",1717005492,50682181,"86RDNW9DG","SMB1",0,"Overworld",0,"Easy",0,"None"," None",0,0,"00:21.573",21573,"00:39.340",39340,0,0,0,33,73,"45.21%",45.2054794520548,36,0,0,5,0,32,NA,NA
"タイトルのやつ(じどうコースです。)","自動コースです。(楽しんでもらえるとこうえいです。)","15-7-2019 2:37:38",1563158258,5690505,"YB100WGHG","SM3DW",4,"Overworld",0,"Easy",0,"Auto mario"," Themed",5,8,"00:24.533",24533,"00:25.266",25266,7,3730243509,0,132,274,"48.18%",48.1751824817518,155,1,5,15,2,143,NA,NA
"Super Mario Adventure 3-1","Bob-Ombs","30-7-2023 8:54:34",1690707274,45912065,"9KK5GJH9G","SM3DW",4,"Overworld",0,"Easy",0,"Standard"," Single player",1,14,"00:31.806",31806,"01:09.583",69583,1,0,0,27,51,"52.94%",52.9411764705882,34,0,2,3,1,35,NA,NA
"la casa di yoshi invernale","P:39,55%","28-5-2022 18:45:20",1653763520,38145631,"2MQTB5JDF","NSMBU",3,"Snow",6,"Easy",0,"None"," None",0,0,"00:22.001",22001,"00:52.817",52817,1,0,0,13,21,"61.90%",61.9047619047619,15,0,0,1,0,12,NA,NA
"†最""期""の生活………†　†finale life………†　　　","………………………………………………………………………………………………………………………………………………………………………………………………………","28-11-2023 7:23:16",1701156196,47859300,"YLCSLGMJF","NSMBU",3,"Underground",1,"Easy",0,"Themed"," Art",8,10,"00:28.149",28149,"01:04.799",64799,2,0,0,51,57,"89.47%",89.4736842105263,55,37,0,12,4,88,NA,NA
"Jungle Adventure","I hope you like it :)","3-8-2019 19:51:22",1564861882,7580660,"C4P1JPTXF","NSMBU",3,"Forest",9,"Easy",0,"Standard"," Themed",1,8,"00:28.021",28021,"01:08.003",68003,0,0,0,81,243,"33.33%",33.3333333333333,106,4,4,9,1,108,NA,NA
"ジェリクルキャッツ「CATS」","キャッツを知ってますか？劇団四季や映画にもなっている名作です今回はキャッツの舞台のゴミ捨て場を再現したコース、クリアすれば、ジェリクルキャッツに！？","7-11-2022 5:58:52",1667800732,40999684,"FP9H83BCG","SM3DW",4,"Underground",1,"Easy",0,"Themed"," Music",8,9,"00:04.349",4349,"00:07.966",7966,0,2111528319,0,13,18,"72.22%",72.2222222222222,13,0,0,1,1,13,NA,NA
"HAPPY NEW YEAR!","IT'S 2024!","1-1-2024 0:42:00",1704069720,48382212,"B0MV0SCCG","SM3DW",4,"Overworld",0,"Easy",0,"Standard"," Short and sweet",1,6,"00:09.523",9523,"00:46.340",46340,1,4116396131,37,49,53,"92.45%",92.4528301886792,50,2,0,7,0,46,NA,NA
"rainbows","","21-1-2023 17:45:00",1674323100,42238520,"GKC7LK12G","SMW",2,"Sky",8,"Easy",0,"None"," None",0,0,"00:36.383",36383,"00:53.333",53333,0,4116396131,150,19,35,"54.29%",54.2857142857143,24,0,3,2,0,26,NA,NA
"4-2 Bullet Bill Race","Don't stop!","11-7-2024 4:43:25",1720673005,51237929,"LP04H2PNF","SMB1",0,"Sky",8,"Easy",0,"Autoscroll"," Technical",4,11,"00:56.421",56421,"00:56.273",56273,0,0,0,6,31,"19.35%",19.3548387096774,15,0,0,2,0,14,NA,NA
"クッパ城のカラクリ","今まで作ってきたバージョンのクッパ城のからくりです！","7-2-2021 0:25:08",1612657508,27507327,"6X3WW0H7G","SMW",2,"Castle",2,"Easy",0,"Standard"," Single player",1,14,"00:35.916",35916,"01:01.537",61537,0,0,0,57,65,"87.69%",87.6923076923077,58,0,0,4,0,56,NA,NA
"Another nice level :D","Hi! I hope you enjoy this level because it took me a sixth of a day to make","25-9-2022 10:33:03",1664101983,40407628,"LJMDWVXKG","SM3DW",4,"Sky",8,"Easy",0,"Themed"," Art",8,10,"00:28.599",28599,"01:04.128",64128,0,3437308486,50,23,26,"88.46%",88.4615384615385,23,0,2,1,1,23,NA,NA
"Goomba Test Room","Defeat Goombas in increasingly ingenious ways!","23-1-2024 18:31:35",1706034695,48810249,"DC0NCRKHG","SMB3",1,"Overworld",0,"Easy",0,"Puzzle solving"," Themed",2,8,"01:33.190",93190,"02:30.667",150667,2,2131209407,37,13,16,"81.25%",81.25,20,0,3,3,2,20,NA,NA
"zxzxzxzxzxzxzxzxzxzxzxzxzxzxcvbf","あの手の？！！！！！！！！！！！！！！！！！！","8-7-2023 5:07:09",1688792829,45455746,"W6WTRTX9G","NSMBU",3,"Underground",1,"Easy",0,"Multiplayer versus"," Themed",7,8,"00:09.853",9853,"00:30.345",30345,0,4209535561,0,4,5,"80.00%",80,4,0,0,0,0,4,NA,NA
"1234",".","16-5-2021 6:56:42",1621148202,30281077,"SL8QFD60G","SMW",2,"Snow",6,"Easy",0,"Single player"," Single player",14,14,"00:06.783",6783,"00:16.466",16466,5,0,0,151,187,"80.75%",80.7486631016043,168,0,1,25,1,140,NA,NA
"super mario 3d word mundo 3-3","as llegado","24-11-2023 5:39:54",1700804394,47787120,"WYC9V01VF","SM3DW",4,"Desert",7,"Easy",0,"Standard"," Technical",1,11,"00:10.816",10816,"00:45.871",45871,0,0,0,16,28,"57.14%",57.1428571428571,18,0,0,2,0,15,NA,NA
"wevggvbf","221","13-2-2021 17:18:35",1613236715,27716086,"LQPKNVJ0G","SM3DW",4,"Castle",2,"Easy",0,"Puzzle solving"," Shooter",2,12,"00:20.162",20162,"00:29.511",29511,0,0,0,35,82,"42.68%",42.6829268292683,48,0,0,3,1,47,NA,NA
"キング・オブ・雑魚　クリボーを詳しく解説","クリボーを概要と違う姿を詳しく解説します！　(これはWikipediaとピクシブ百科事典を元に作りました。)コ メント表示はON！","11-8-2023 14:04:20",1691762660,46177105,"NVFNWYGPG","NSMBU",3,"Overworld",0,"Easy",0,"Autoscroll"," Single player",4,14,"01:44.589",104589,"01:44.177",104177,32,0,0,41,56,"73.21%",73.2142857142857,51,0,9,12,2,60,NA,NA
"とどけ！！2","どこかにワープボックスがあるよ！","26-7-2023 6:59:08",1690354748,45820058,"7QN79Q3YG","SM3DW",4,"Sky",8,"Easy",0,"Multiplayer versus"," Single player",7,14,"00:07.616",7616,"00:05.316",5316,0,0,0,3,7,"42.86%",42.8571428571429,4,0,0,0,0,3,NA,NA
"スペシャルアクション・スーパースターダッシュ2!!!","僕が過去に作った「スペシャルアクション・スーパースターダッシュ!!!」というコースがとても人気だったので、2作目を作りました。","1-1-2024 1:09:39",1704071379,48382856,"N5CLD2JGG","SM3DW",4,"Sky",8,"Easy",0,"Speedrun"," Short and sweet",3,6,"00:18.760",18760,"00:30.023",30023,2,3342591980,0,36,53,"67.92%",67.9245283018868,37,0,0,6,0,30,NA,NA
"[★絶★対★快★感★] 　～ノコノコ編～","日頃のストレスをこのステージで、吹き飛ばしましょう!!ww　　　いろいろな方法でノコノコを倒したら面白い!!","8-2-2021 11:05:05",1612782305,27561493,"JT1VD2TSG","NSMBU",3,"Underground",1,"Easy",0,"Short and sweet"," Themed",6,8,"00:04.149",4149,"00:18.585",18585,8,0,0,182,290,"62.76%",62.7586206896552,202,4,3,25,4,184,NA,NA
"Forgiven","Father, forgive them; for they know not what they do.","25-4-2021 4:55:35",1619326535,29764968,"69B3K2LMF","SMB1",0,"Desert",7,"Easy",0,"Themed"," Art",8,10,"00:01.401",1401,"00:02.291",2291,38,0,0,352,386,"91.19%",91.1917098445596,367,4,9,76,14,299,NA,NA
"cuphead: tutorial","","8-7-2024 1:59:11",1720403951,51198758,"4J7TBBCLF","NSMBU",3,"Sky",8,"Easy",0,"None"," None",0,0,"00:10.015",10015,"01:27.108",87108,0,0,0,3,3,"100.00%",100,3,0,0,0,0,2,NA,NA
"キモチイ","","17-8-2022 8:34:02",1660725242,39739315,"HFN3N0MXF","SM3DW",4,"Underground",1,"Easy",0,"Shooter"," Single player",12,14,"00:08.178",8178,"00:10.274",10274,0,0,0,35,54,"64.81%",64.8148148148148,39,0,0,4,1,37,NA,NA
"The vine's the limit","Hang onto the vine as long as you can.","7-4-2023 20:13:26",1680898406,43625572,"PQ45WGKJF","SMW",2,"Overworld",0,"Easy",0,"Short and sweet"," Single player",6,14,"00:25.116",25116,"00:27.746",27746,2,0,0,32,71,"45.07%",45.0704225352113,37,0,0,3,0,37,NA,NA
"trust me or defeat 43","","31-8-2023 19:34:49",1693510489,46568166,"2TC5YD0LF","SM3DW",4,"Sky",8,"Easy",0,"Standard"," Multiplayer versus",1,7,"00:33.261",33261,"00:49.228",49228,0,0,0,14,46,"30.43%",30.4347826086957,20,0,0,2,0,20,NA,NA
"ゆきだま","アイテムとてきが、こうしたけどそれを見て、また来てくれました、こうした","15-8-2023 12:07:28",1692101248,46261148,"4BWCD050H","NSMBU",3,"Snow",6,"Easy",0,"Standard"," Single player",1,14,"00:05.194",5194,"00:52.723",52723,0,0,0,44,46,"95.65%",95.6521739130435,60,0,0,4,0,44,NA,NA
"super  mario  Odyssey","2017","18-7-2024 0:07:51",1721261271,51339177,"GR0PXSSNF","NSMBU",3,"Airship",3,"Easy",0,"Auto mario"," Single player",5,14,"00:06.638",6638,"00:14.052",14052,0,0,0,7,11,"63.64%",63.6363636363636,10,0,0,0,0,7,NA,NA
"Super mario bros  livello 1","  fatto da  MORTICX_1233","3-1-2020 14:28:12",1578061692,13265438,"VHSR8562H","SMB1",0,"Overworld",0,"Easy",0,"Standard"," Short and sweet",1,6,"00:09.216",9216,"00:21.300",21300,0,0,0,139,256,"54.30%",54.296875,170,5,1,21,3,167,NA,NA
"bhtrfghh","yoshi was left dancing for eternety weyting for mario to return but he...","5-3-2020 21:20:46",1583443246,15252777,"V62DMXFNF","NSMBU",3,"Overworld",0,"Easy",0,"Speedrun"," Short and sweet",3,6,"00:05.313",5313,"00:07.610",7610,1,0,0,125,136,"91.91%",91.9117647058823,127,5,0,13,0,130,NA,NA
"バネバネ","","2-3-2023 11:14:03",1677755643,42912035,"08SNT21JF","NSMBU",3,"Overworld",0,"Easy",0,"Standard"," Speedrun",1,3,"00:01.100",1100,"00:07.878",7878,2,0,0,45,90,"50.00%",50,57,0,0,6,2,51,NA,NA
"「わわ","「","17-5-2020 2:30:34",1589682634,19371224,"8YW217BWG","SM3DW",4,"Underground",1,"Easy",0,"Standard"," Multiplayer versus",1,7,"00:06.480",6480,"00:09.642",9642,4,0,0,160,166,"96.39%",96.3855421686747,176,5,0,26,8,146,NA,NA
"weefv","kingBoss","9-5-2020 13:51:19",1589032279,18898399,"BG72V17DF","SMW",2,"Castle",2,"Easy",0,"Music"," Art",9,10,"00:22.457",22457,"00:36.204",36204,0,1431944825,1,29,60,"48.33%",48.3333333333333,41,0,1,3,2,33,NA,NA
"포 비","","18-3-2023 11:00:33",1679137233,43169912,"C5NXFKX1G","SM3DW",4,"Desert",7,"Easy",0,"Music"," Music",9,9,"00:08.049",8049,"00:12.975",12975,0,0,0,19,21,"90.48%",90.4761904761905,21,0,0,2,0,21,NA,NA
"old vibes (with old sounds)","wii game cube and others will be expected","9-12-2022 4:33:45",1670560425,41413236,"3VG9Y61YF","SMB1",0,"Overworld",0,"Easy",0,"Standard"," Themed",1,8,"00:06.657",6657,"00:47.173",47173,1,0,0,34,43,"79.07%",79.0697674418605,37,0,0,4,0,29,NA,NA
"自動","","12-4-2020 6:49:58",1586674198,16681161,"7LTSDYVHG","NSMBU",3,"Overworld",0,"Easy",0,"Standard"," Standard",1,1,"00:26.935",26935,"00:35.334",35334,0,0,0,8,15,"53.33%",53.3333333333333,9,0,0,0,0,9,NA,NA
"1","Catch It !!!!!","25-4-2020 22:13:51",1587852831,17815819,"NL47F9HKG","SM3DW",4,"Overworld",0,"Easy",0,"Themed"," Themed",8,8,"00:12.634",12634,"01:08.120",68120,7,0,0,217,241,"90.04%",90.0414937759336,222,4,3,22,3,215,NA,NA
"No World made game","when you didnt make level","30-4-2023 22:55:56",1682895356,44130594,"S38QLVLGF","SMB1",0,"Sky",8,"Easy",0,"Standard"," Standard",1,1,"00:13.205",13205,"01:05.037",65037,1,0,0,33,60,"55.00%",55,45,0,0,4,0,42,NA,NA
"Fire Frown","nothing to see here just enjoy!!!","23-7-2019 5:32:25",1563859945,6518368,"8MYWKS4FF","SMW",2,"Castle",2,"Easy",0,"Standard"," Speedrun",1,3,"00:24.376",24376,"00:46.106",46106,0,0,0,27,61,"44.26%",44.2622950819672,35,5,0,2,1,34,NA,NA
