"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"castle","","14-10-2020 13:57:23",1602683843,24501702,"C8RMBR2FG","SMW",2,"Castle",2,"Normal",1,"Multiplayer versus"," Link",7,15,"00:14.723",14723,"01:37.185",97185,2,0,0,106,431,"24.59%",24.5939675174014,137,5,0,14,4,126,NA,NA
"113増す飛べ","113増す飛べ","18-10-2021 1:01:58",1634518918,33618252,"GP7P1LJKG","NSMBU",3,"Sky",8,"Normal",1,"Short and sweet"," Technical",6,11,"00:20.463",20463,"00:22.599",22599,3,0,0,19,115,"16.52%",16.5217391304348,38,0,0,4,1,34,NA,NA
"2-2 koopa canyon","second level of world 2.","23-7-2019 9:18:32",1563873512,6531802,"8CPM07PXG","NSMBU",3,"Desert",7,"Normal",1,"Standard"," Standard",1,1,"00:20.506",20506,"01:35.013",95013,1,0,0,152,526,"28.90%",28.8973384030418,189,37,1,26,8,214,NA,NA
"1-1 ","Not your normal 1-1 remake -_-","1-8-2020 1:17:45",1596244665,22511698,"5VPTJPLQG","NSMBU",3,"Overworld",0,"Normal",1,"Standard"," Short and sweet",1,6,"00:13.291",13291,"00:31.628",31628,0,0,0,18,59,"30.51%",30.5084745762712,20,0,0,2,0,13,NA,NA
"ファイアーボールを打ちまくって","クリボーをいっぱい置いたんだファイアーボールを打ちまくってゴールまで高速ダッシュでGOGO","31-10-2020 8:54:20",1604134460,24825174,"TC5C83WTG","SM3DW",4,"Castle",2,"Normal",1,"Themed"," Technical",8,11,"00:24.549",24549,"01:16.594",76594,5,375673178,0,172,419,"41.05%",41.0501193317422,212,4,24,32,2,210,NA,NA
"キラーから全力疾走！！  (2)","","2-8-2022 12:57:05",1659445025,39412935,"YS4GBM2GG","SMW",2,"Sky",8,"Normal",1,"Speedrun"," Speedrun",3,3,"00:15.616",15616,"00:15.900",15900,0,0,0,67,755,"8.87%",8.87417218543046,117,5,0,16,6,97,NA,NA
"Deep Sea Diving Adventure","Dive in the deep seas in search of sunken ships. Remember to bring the key","2-3-2020 12:14:54",1583151294,15159230,"01QLGTW6G","SMW",2,"Forest",9,"Normal",1,"Standard"," Themed",1,8,"05:53.250",353250,"06:32.416",392416,10,0,0,45,292,"15.41%",15.4109589041096,153,19,42,32,9,210,NA,NA
"ｽﾋﾟﾗﾝ","","17-10-2019 9:53:40",1571306020,11062218,"DWK1RBCJG","NSMBU",3,"Overworld",0,"Normal",1,"Standard"," Speedrun",1,3,"00:13.172",13172,"00:18.823",18823,1,0,0,65,162,"40.12%",40.1234567901235,80,3,0,7,2,71,NA,NA
"第二コース2","2ウェエ2ウェ","16-1-2024 1:01:39",1705366899,48682496,"LD7GBSD8G","SM3DW",4,"Overworld",0,"Normal",1,"Autoscroll"," Multiplayer versus",4,7,"01:11.135",71135,"02:13.568",133568,0,0,0,10,27,"37.04%",37.037037037037,14,0,0,1,0,13,NA,NA
"High sky speedrun world 2-3","Run to win!","7-11-2020 17:50:41",1604771441,24975280,"PPK8557VF","SMW",2,"Sky",8,"Normal",1,"Standard"," Speedrun",1,3,"00:20.583",20583,"00:21.333",21333,1,0,0,35,361,"9.70%",9.69529085872576,70,2,0,7,1,65,NA,NA
